date,fixture_id,match,marché,pari,cote,bookmaker,p_modèle_%,p_marché_%,p_finale_%,edge_%,ev_%,mise_%,résultat,gain_unités,clv
2026-07-04,1567824,Canada vs Morocco,1X2,1,5.54,Pinnacle,41.1,17.3,25.6,8.3,41.9,2.0,,,
2026-07-04,1567824,Canada vs Morocco,O/U 2.5,Over,2.31,SBO,54.5,42.8,46.9,4.1,8.4,1.59,,,
2026-07-07,1576804,Argentina vs Egypt,1X2,2,11.05,Pinnacle,26.9,8.3,14.8,6.5,63.6,1.58,,,
2026-07-15,1586077,England vs Argentina,1X2,2,3.14,1xBet,47.9,31.0,36.9,5.9,16.0,1.87,,,
2026-07-18,1591865,France vs England,O/U 2.5,Under,2.8,Betfair,52.8,33.4,40.2,6.8,12.5,1.73,,,
2026-08-15,1570333,Alaves vs Getafe,O/U 2.5,Over,3.32,Pinnacle,48.2,27.2,34.5,7.3,14.7,1.58,,,
2026-08-16,1570339,Racing Santander vs Villarreal,1X2,1,3.48,Pinnacle,42.7,27.6,32.9,5.3,14.5,1.46,,,
2026-08-17,1570337,Deportivo La Coruna vs Elche,O/U 2.5,Over,2.4,SBO,48.2,40.3,43.0,2.8,3.3,0.58,,,
2026-08-19,1570334,Atletico Madrid vs Malaga,1X2,2,10.6,1xBet,28.7,9.0,15.9,6.9,68.5,1.79,,,
2026-08-20,1570351,Rayo Vallecano vs Alaves,O/U 2.5,Over,2.75,Bet365,48.2,33.8,38.8,5.0,6.8,0.97,,,
2026-08-21,1552733,Marseille vs Strasbourg,1X2,2,4.6,Unibet,29.6,21.2,24.1,3.0,11.0,0.76,,,
2026-08-21,1552733,Marseille vs Strasbourg,O/U 2.5,Under,2.55,Betfair,53.1,37.4,42.9,5.5,9.4,1.52,,,
2026-08-21,1557367,Arsenal vs Coventry,1X2,2,18.0,Unibet,27.0,5.1,12.8,7.7,129.9,1.91,,,
2026-08-21,1557367,Arsenal vs Coventry,O/U 2.5,Under,2.46,1xBet,49.4,39.1,42.7,3.6,5.0,0.85,,,
2026-08-22,1557368,Hull City vs Manchester United,1X2,1,9.55,1xBet,45.3,9.7,22.2,12.5,112.0,2.0,,,
2026-08-22,1557368,Hull City vs Manchester United,O/U 2.5,Under,2.38,1xBet,49.4,40.3,43.5,3.2,3.5,0.64,,,
2026-08-22,1557370,Ipswich vs Sunderland,1X2,1,2.85,1xBet,45.3,35.1,38.7,3.6,10.3,1.39,,,
2026-08-22,1570343,Athletic Club vs Sevilla,1X2,2,5.6,Unibet,28.7,18.4,22.0,3.6,23.3,1.27,,,
2026-08-22,1552732,Lens vs Auxerre,1X2,2,6.5,Betano,29.6,14.9,20.0,5.2,30.2,1.37,,,
2026-08-22,1552732,Lens vs Auxerre,O/U 2.5,Under,2.3,1xBet,53.1,42.2,46.0,3.8,5.9,1.13,,,
2026-08-23,1557374,Manchester City vs Bournemouth,1X2,2,6.4,Unibet,27.0,15.3,19.4,4.1,24.3,1.13,,,
2026-08-23,1557374,Manchester City vs Bournemouth,O/U 2.5,Under,2.87,Pinnacle,49.4,32.3,38.3,6.0,9.9,1.32,,,
2026-08-23,1552729,Angers vs Lille,1X2,1,5.1,Unibet,41.4,18.9,26.8,7.9,36.5,2.0,,,
2026-08-23,1552730,Le Havre vs Monaco,1X2,1,3.84,1xBet,41.4,25.4,31.0,5.6,19.0,1.68,,,
