date,fixture_id,match,score_conseillé,points_attendus,score_réel,points,résultat
2026-07-05,1568100,Brazil vs Norway,2-1,0.72,,,
2026-07-06,1576756,Portugal vs Spain,0-1,0.9,,,
2026-07-07,1576804,Argentina vs Egypt,2-1,0.95,,,
2026-07-07,1576805,Switzerland vs Colombia,0-1,0.7,,,
2026-07-09,1578539,France vs Morocco,1-0,1.0,,,
2026-07-10,1581821,Spain vs Belgium,1-0,1.01,,,
2026-07-11,1581037,Norway vs England,1-2,0.84,,,
2026-07-14,1585131,France vs Spain,1-0,0.67,,,
2026-07-15,1586077,England vs Argentina,1-2,0.72,,,
2026-07-18,1591865,France vs England,2-1,0.8,,,
2026-07-19,1591866,Spain vs Argentina,1-0,0.77,,,
2026-08-15,1570333,Alaves vs Getafe,1-0,0.61,,,
2026-08-15,1570341,Sevilla vs Rayo Vallecano,1-0,0.61,,,
2026-08-16,1570339,Racing Santander vs Villarreal,0-1,0.55,,,
2026-08-16,1570338,Espanyol vs Levante,1-0,0.64,,,
2026-08-17,1570337,Deportivo La Coruna vs Elche,1-0,0.61,,,
2026-08-19,1570334,Atletico Madrid vs Malaga,1-0,0.82,,,
2026-08-20,1570351,Rayo Vallecano vs Alaves,1-0,0.61,,,
